userId,userPw,userType
1000,1234,CLASSMATE
1001,1234,CLASSMATE
1002,1234,CLASSMATE
1003,1234,CLASSMATE
1004,1234,CLASSMATE
1005,1234,CLASSMATE
1006,1234,CLASSMATE
1007,1234,CLASSMATE
1008,1234,CLASSMATE
1009,1234,CLASSMATE
1010,1234,CLASSMATE
1011,1234,CLASSMATE
1012,1234,CLASSMATE
1013,1234,CLASSMATE
1014,1234,CLASSMATE
1015,1234,CLASSMATE
1016,1234,CLASSMATE
1017,1234,CLASSMATE
1018,1234,CLASSMATE
1019,1234,CLASSMATE
1020,1234,CLASSMATE
1021,1234,CLASSMATE
1022,1234,CLASSMATE
1023,1234,CLASSMATE
1024,1234,CLASSMATE
1025,1234,CLASSMATE
1026,1234,CLASSMATE
1027,1234,CLASSMATE
1028,1234,CLASSMATE
1029,1234,CLASSMATE
1030,1234,CLASSMATE
1031,1234,CLASSMATE
1032,1234,CLASSMATE
1033,1234,CLASSMATE
1034,1234,CLASSMATE
1035,1234,CLASSMATE
1036,1234,CLASSMATE
1037,1234,CLASSMATE
1038,1234,CLASSMATE
1039,1234,CLASSMATE
1040,1234,CLASSMATE
1041,1234,CLASSMATE
1042,1234,CLASSMATE
1043,1234,CLASSMATE
1044,1234,CLASSMATE
1045,1234,CLASSMATE
1046,1234,CLASSMATE
1047,1234,CLASSMATE
1048,1234,CLASSMATE
1049,1234,CLASSMATE
1050,1234,CLASSMATE
1051,1234,CLASSMATE
1052,1234,CLASSMATE
1053,1234,CLASSMATE
1054,1234,CLASSMATE
1055,1234,CLASSMATE
1056,1234,CLASSMATE
1057,1234,CLASSMATE
1058,1234,CLASSMATE
1059,1234,CLASSMATE
1060,1234,CLASSMATE
1061,1234,CLASSMATE
1062,1234,CLASSMATE
1063,1234,CLASSMATE
1064,1234,CLASSMATE
1065,1234,CLASSMATE
1066,1234,CLASSMATE
1067,1234,CLASSMATE
1068,1234,CLASSMATE
1069,1234,CLASSMATE
1070,1234,CLASSMATE
1071,1234,CLASSMATE
1072,1234,CLASSMATE
1073,1234,CLASSMATE
1074,1234,CLASSMATE
1075,1234,CLASSMATE
1076,1234,CLASSMATE
1077,1234,CLASSMATE
1078,1234,CLASSMATE
1079,1234,CLASSMATE
1080,1234,CLASSMATE
1081,1234,CLASSMATE
1082,1234,CLASSMATE
1083,1234,CLASSMATE
1084,1234,CLASSMATE
1085,1234,CLASSMATE
1086,1234,CLASSMATE
1087,1234,CLASSMATE
1088,1234,CLASSMATE
1089,1234,CLASSMATE
1090,1234,CLASSMATE
1091,1234,CLASSMATE
1092,1234,CLASSMATE
1093,1234,CLASSMATE
1094,1234,CLASSMATE
1095,1234,CLASSMATE
1096,1234,CLASSMATE
1097,1234,CLASSMATE
1098,1234,CLASSMATE
1099,1234,CLASSMATE
1100,1234,CLASSMATE
1101,1234,CLASSMATE
1102,1234,CLASSMATE
1103,1234,CLASSMATE
1104,1234,CLASSMATE
1105,1234,CLASSMATE
1106,1234,CLASSMATE
1107,1234,CLASSMATE
1108,1234,CLASSMATE
1109,1234,CLASSMATE
1110,1234,CLASSMATE
1111,1234,CLASSMATE
1112,1234,CLASSMATE
1113,1234,CLASSMATE
1114,1234,CLASSMATE
1115,1234,CLASSMATE
1116,1234,CLASSMATE
1117,1234,CLASSMATE
1118,1234,CLASSMATE
1119,1234,CLASSMATE
1120,1234,CLASSMATE
1121,1234,CLASSMATE
1122,1234,CLASSMATE
1123,1234,CLASSMATE
1124,1234,CLASSMATE
1125,1234,CLASSMATE
1126,1234,CLASSMATE
1127,1234,CLASSMATE
1128,1234,CLASSMATE
1129,1234,CLASSMATE
1130,1234,CLASSMATE
1131,1234,CLASSMATE
1132,1234,CLASSMATE
1133,1234,CLASSMATE
1134,1234,CLASSMATE
1135,1234,CLASSMATE
1136,1234,CLASSMATE
1137,1234,CLASSMATE
1138,1234,CLASSMATE
1139,1234,CLASSMATE
1140,1234,CLASSMATE
1141,1234,CLASSMATE
1142,1234,CLASSMATE
1143,1234,CLASSMATE
1144,1234,CLASSMATE
1145,1234,CLASSMATE
1146,1234,CLASSMATE
1147,1234,CLASSMATE
1148,1234,CLASSMATE
1149,1234,CLASSMATE
1150,1234,CLASSMATE
1151,1234,CLASSMATE
1152,1234,CLASSMATE
1153,1234,CLASSMATE
1154,1234,CLASSMATE
1155,1234,CLASSMATE
1156,1234,CLASSMATE
1157,1234,CLASSMATE
1158,1234,CLASSMATE
1159,1234,CLASSMATE
1160,1234,CLASSMATE
1161,1234,CLASSMATE
1162,1234,CLASSMATE
1163,1234,CLASSMATE
1164,1234,CLASSMATE
1165,1234,CLASSMATE
1166,1234,CLASSMATE
1167,1234,CLASSMATE
1168,1234,CLASSMATE
1169,1234,CLASSMATE
1170,1234,CLASSMATE
